停留所名,読み
ひらき台東,ひらきだいひがし
平原,ひらばら
深溝,ふかみぞ
福岡,ふくおか
フジグラン宇部,ふじぐらんうべ
藤曲,ふじまがり
埠頭入口,ふとういりぐち
風呂ヶ迫,ふろがさこ
フロンティア大学,ふろんてぃあだいがく
ポンプ場前,ぽんぷじょうまえ
前岡の辻,まえおかのつじ
松見町入口,まつみちょういりぐち
松山町五丁目,まつやまちょうごちょうめ
松山町二丁目,まつやまちょうにちょうめ
松山町四丁目,まつやまちょうよんちょうめ
丸尾,まるお
丸尾駅,まるおえき
丸尾崎,まるおざき
丸尾原,まるおばら
丸河内,まるごうち
丸山公園,まるやまこうえん
馬渡橋,まわたりばし
岬町一丁目,みさきちょういっちょうめ
岬町三丁目,みさきちょうさんちょうめ
ミスターマックス宇部店,みすたーまっくすうべてん
南小羽山,みなみおばやま
南側,みなみがわ
美保,みほ
宮ヶ峠,みやがたお
村松,むらまつ
村松東,むらまつひがし
免地,めんち
桃山,ももやま
桃山中学,ももやまちゅうがく
薬師堂,やくしどう
